"run","randomSeed","numTanksBlue","default_observer_minPycor","default_observer_maxPycor","numSoldierBlue","default_observer_maxPxcor","numRidersBlue","default_observer_minPxcor","numTanksRed","numRidersRed","numSoldierRed"
346,-2057661111,10,-16,16,10,16,0,-16,20,10,0
347,-2057660955,10,-16,16,10,16,0,-16,20,10,10
348,-2057660845,10,-16,16,10,16,0,-16,20,10,20
349,-2057660720,10,-16,16,10,16,0,-16,20,20,0
350,-2057660595,10,-16,16,10,16,0,-16,20,20,10
351,-2057660486,10,-16,16,10,16,0,-16,20,20,20
352,-2057660330,10,-16,16,10,16,10,-16,0,0,0
353,-2057660158,10,-16,16,10,16,10,-16,0,0,10
354,-2057659986,10,-16,16,10,16,10,-16,0,0,20
355,-2057659892,10,-16,16,10,16,10,-16,0,10,0
356,-2057659783,10,-16,16,10,16,10,-16,0,10,10
357,-2057659627,10,-16,16,10,16,10,-16,0,10,20
358,-2057659455,10,-16,16,10,16,10,-16,0,20,0
359,-2057659283,10,-16,16,10,16,10,-16,0,20,10
360,-2057659174,10,-16,16,10,16,10,-16,0,20,20
361,-2057658986,10,-16,16,10,16,10,-16,10,0,0
362,-2057658830,10,-16,16,10,16,10,-16,10,0,10
363,-2057658627,10,-16,16,10,16,10,-16,10,0,20
364,-2057658502,10,-16,16,10,16,10,-16,10,10,0
365,-2057658361,10,-16,16,10,16,10,-16,10,10,10
366,-2057658267,10,-16,16,10,16,10,-16,10,10,20
367,-2057658127,10,-16,16,10,16,10,-16,10,20,0
368,-2057658049,10,-16,16,10,16,10,-16,10,20,10
369,-2057657892,10,-16,16,10,16,10,-16,10,20,20
370,-2057657689,10,-16,16,10,16,10,-16,20,0,0
371,-2057657611,10,-16,16,10,16,10,-16,20,0,10
372,-2057657455,10,-16,16,10,16,10,-16,20,0,20
373,-2057657236,10,-16,16,10,16,10,-16,20,10,0
374,-2057657049,10,-16,16,10,16,10,-16,20,10,10
375,-2057656892,10,-16,16,10,16,10,-16,20,10,20
376,-2057656673,10,-16,16,10,16,10,-16,20,20,0
377,-2057656564,10,-16,16,10,16,10,-16,20,20,10
378,-2057656439,10,-16,16,10,16,10,-16,20,20,20
379,-2057656314,10,-16,16,10,16,20,-16,0,0,0
380,-2057656205,10,-16,16,10,16,20,-16,0,0,10
381,-2057656049,10,-16,16,10,16,20,-16,0,0,20
382,-2057655861,10,-16,16,10,16,20,-16,0,10,0
383,-2057655705,10,-16,16,10,16,20,-16,0,10,10
384,-2057655627,10,-16,16,10,16,20,-16,0,10,20
385,-2057655455,10,-16,16,10,16,20,-16,0,20,0
386,-2057655314,10,-16,16,10,16,20,-16,0,20,10
387,-2057655127,10,-16,16,10,16,20,-16,0,20,20
388,-2057655048,10,-16,16,10,16,20,-16,10,0,0
389,-2057654908,10,-16,16,10,16,20,-16,10,0,10
